,# Input,GeneSymbol,GeneID,Ontology,GoTermName,GoTermID
0,klf4,KLF4,9314,Biological Process,canonical Wnt signaling pathway,GO:0060070
1,klf4,KLF4,9314,Biological Process,cell differentiation,GO:0030154
2,klf4,KLF4,9314,Biological Process,cellular response to cycloheximide,GO:0071409
3,klf4,KLF4,9314,Biological Process,cellular response to growth factor stimulus,GO:0071363
4,klf4,KLF4,9314,Biological Process,cellular response to hydrogen peroxide,GO:0070301
5,klf4,KLF4,9314,Biological Process,cellular response to laminar fluid shear stress,GO:0071499
6,klf4,KLF4,9314,Biological Process,cellular response to leukemia inhibitory factor,GO:1990830
7,klf4,KLF4,9314,Biological Process,cellular response to organic cyclic compound,GO:0071407
8,klf4,KLF4,9314,Biological Process,cellular response to peptide,GO:1901653
9,klf4,KLF4,9314,Biological Process,cellular response to retinoic acid,GO:0071300
10,klf4,KLF4,9314,Biological Process,defense response to tumor cell,GO:0002357
11,klf4,KLF4,9314,Biological Process,DNA-templated transcription,GO:0006351
12,klf4,KLF4,9314,Biological Process,epidermal cell differentiation,GO:0009913
13,klf4,KLF4,9314,Biological Process,epidermis development,GO:0008544
14,klf4,KLF4,9314,Biological Process,epidermis morphogenesis,GO:0048730
15,klf4,KLF4,9314,Biological Process,establishment of skin barrier,GO:0061436
16,klf4,KLF4,9314,Biological Process,fat cell differentiation,GO:0045444
17,klf4,KLF4,9314,Biological Process,gene expression,GO:0010467
18,klf4,KLF4,9314,Biological Process,glandular epithelial cell differentiation,GO:0002067
19,klf4,KLF4,9314,Biological Process,mesodermal cell fate determination,GO:0007500
20,klf4,KLF4,9314,Biological Process,negative regulation of angiogenesis,GO:0016525
21,klf4,KLF4,9314,Biological Process,negative regulation of cell migration,GO:0030336
22,klf4,KLF4,9314,Biological Process,negative regulation of cell migration involved in sprouting angiogenesis,GO:0090051
23,klf4,KLF4,9314,Biological Process,negative regulation of cell population proliferation,GO:0008285
24,klf4,KLF4,9314,Biological Process,negative regulation of chemokine (C-X-C motif) ligand 2 production,GO:2000342
25,klf4,KLF4,9314,Biological Process,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0043154
